threads,runtime(ms)
1,36.913
2,15.155
3,10.104
4,8.424
5,6.287
6,5.585
7,4.777
8,4.365
9,3.915
10,3.515
11,3.249
12,3.096
13,2.867
14,2.793
15,2.626
16,2.502
17,2.358
18,2.355
19,2.215
20,2.198
21,3.273
22,3.150
23,3.103
24,3.062
25,2.974
26,2.856
27,2.834
28,2.803
29,2.752
30,2.743
31,2.704
32,2.665
33,2.635
34,2.616
35,2.616
36,2.625
37,2.643
38,2.646
39,2.645
40,2.683
