threads,runtime(ms)
1,0.957
2,0.451
3,0.325
4,0.265
5,0.225
6,0.201
7,0.183
8,0.164
9,0.167
10,0.158
11,0.147
12,0.143
13,0.132
14,0.137
15,0.129
16,0.114
17,0.122
18,0.119
19,0.112
20,0.114
21,0.144
22,0.137
23,0.139
24,0.130
25,0.148
26,0.145
27,0.142
28,0.138
29,0.149
30,0.141
31,0.142
32,0.147
33,0.142
34,0.143
35,0.142
36,0.144
37,0.146
38,0.140
39,0.139
40,0.143
