threads,runtime(ms)
1,83.648
2,47.353
3,39.039
4,34.400
5,31.093
6,29.839
7,28.113
8,27.323
9,26.502
10,25.841
11,25.406
12,25.146
13,24.827
14,24.672
15,24.369
16,24.270
17,24.053
18,24.029
19,24.025
20,24.025
21,23.961
22,23.937
23,23.989
24,23.945
25,24.111
26,24.056
27,24.016
28,24.183
29,24.091
30,24.390
31,24.180
32,24.387
33,24.252
34,24.606
35,24.924
36,24.713
37,24.785
38,24.702
39,24.686
40,25.366
