threads,runtime(ms)
1,0.939
2,0.442
3,0.323
4,0.244
5,0.220
6,0.204
7,0.186
8,0.156
9,0.168
10,0.155
11,0.144
12,0.143
13,0.136
14,0.131
15,0.128
16,0.120
17,0.118
18,0.118
19,0.125
20,0.110
21,0.165
22,0.159
23,0.161
24,0.164
25,0.164
26,0.161
27,0.159
28,0.154
29,0.153
30,0.161
31,0.149
32,0.146
33,0.156
34,0.156
35,0.159
36,0.154
37,0.173
38,0.172
39,0.161
40,0.169
