threads,runtime(ms)
3,9.784
4,9.576
5,9.377
6,9.433
7,9.351
8,9.325
9,9.291
10,9.294
1,12.049
11,9.348
12,9.312
13,9.340
14,9.462
15,9.368
16,9.416
17,9.449
18,9.497
19,9.495
20,9.613
2,10.225
21,9.756
22,9.873
23,9.928
24,10.000
25,10.058
26,10.168
27,10.232
28,10.294
29,10.454
30,10.544
31,10.729
32,10.731
33,10.691
34,10.874
35,10.905
36,10.976
37,11.076
38,11.106
39,11.207
40,11.326
